mths_since_last_delinq,emp_length,purpose,open_acc,tot_cur_bal
,10+ years,home_improvement,8,217821
8,10+ years,debt_consolidation,17,268738
,2 years,debt_consolidation,16,60589
,7 years,debt_consolidation,9,7050
,3 years,credit_card,5,19605
,4 years,debt_consolidation,14,48612
20,10+ years,debt_consolidation,4,138032
53,6 years,debt_consolidation,14,
12,7 years,debt_consolidation,11,151685
49,5 years,debt_consolidation,21,59435
,10+ years,debt_consolidation,14,265303
77,4 years,debt_consolidation,16,
41,6 years,debt_consolidation,8,52804
56,3 years,debt_consolidation,9,
69,4 years,credit_card,17,325468
,< 1 year,debt_consolidation,11,42572
,< 1 year,debt_consolidation,8,101599
14,2 years,debt_consolidation,15,98194
,2 years,credit_card,13,58465
,6 years,debt_consolidation,10,213047
64,8 years,credit_card,12,8572
,10+ years,debt_consolidation,13,52627
,5 years,debt_consolidation,10,289320
,1 year,credit_card,15,240916
62,10+ years,credit_card,10,103937
,10+ years,debt_consolidation,9,27907
,2 years,debt_consolidation,11,20827
15,10+ years,debt_consolidation,12,206151
,< 1 year,credit_card,7,7598
13,10+ years,debt_consolidation,10,10892
6,7 years,debt_consolidation,9,456330
11,10+ years,credit_card,13,17373
44,2 years,home_improvement,13,219643
44,2 years,credit_card,21,327560
,2 years,debt_consolidation,5,54267
5,7 years,debt_consolidation,12,23167
34,4 years,credit_card,13,150632
,1 year,credit_card,11,34959
71,10+ years,debt_consolidation,12,214722
69,2 years,medical,11,18848
15,6 years,debt_consolidation,14,253162
13,10+ years,debt_consolidation,4,12486
10,6 years,home_improvement,13,13688
,8 years,home_improvement,10,122574
,2 years,home_improvement,15,43077
,9 years,credit_card,14,175518
27,8 years,debt_consolidation,21,558427
18,2 years,debt_consolidation,7,132531
,< 1 year,credit_card,9,85418
,6 years,credit_card,20,46159
,2 years,debt_consolidation,15,42954
,3 years,debt_consolidation,7,140970
,10+ years,debt_consolidation,16,24908
79,7 years,vacation,9,6090
,2 years,debt_consolidation,6,191134
3,2 years,credit_card,12,41659
,2 years,credit_card,4,20435
,4 years,credit_card,25,784727
23,1 year,debt_consolidation,23,375738
,7 years,debt_consolidation,10,38339
,< 1 year,debt_consolidation,6,23827
,8 years,debt_consolidation,11,20407
19,9 years,credit_card,8,48189
,10+ years,medical,16,19428
,2 years,debt_consolidation,12,167157
37,3 years,credit_card,8,104627
,10+ years,credit_card,13,244412
,10+ years,credit_card,12,
,10+ years,debt_consolidation,7,40572
,5 years,debt_consolidation,32,280345
6,5 years,debt_consolidation,12,73989
,4 years,credit_card,7,
,10+ years,debt_consolidation,10,83332
77,9 years,debt_consolidation,9,75023
,10+ years,debt_consolidation,14,17275
40,10+ years,debt_consolidation,6,18177
6,n/a,vacation,12,4224
,2 years,debt_consolidation,7,24460
39,10+ years,debt_consolidation,14,114300
,10+ years,debt_consolidation,16,461537
44,10+ years,debt_consolidation,12,444490
51,1 year,debt_consolidation,30,179029
,4 years,debt_consolidation,10,214592
,< 1 year,debt_consolidation,6,1922
,8 years,debt_consolidation,9,63820
,5 years,debt_consolidation,16,50004
12,7 years,debt_consolidation,20,75927
16,10+ years,credit_card,15,479229
,10+ years,credit_card,6,
1,9 years,debt_consolidation,11,310544
13,10+ years,house,7,18713
,< 1 year,debt_consolidation,14,
24,3 years,debt_consolidation,10,8342
35,5 years,debt_consolidation,13,299618
28,3 years,credit_card,15,34969
9,5 years,medical,7,95885
74,7 years,debt_consolidation,10,38002
,8 years,debt_consolidation,9,189077
72,5 years,medical,8,186401
12,2 years,debt_consolidation,12,130201
,4 years,debt_consolidation,10,
,4 years,debt_consolidation,11,51178
,3 years,debt_consolidation,8,
,6 years,debt_consolidation,5,16624
,8 years,debt_consolidation,6,
,< 1 year,debt_consolidation,12,106103
,2 years,debt_consolidation,30,139260
,10+ years,debt_consolidation,6,47965
4,8 years,debt_consolidation,8,29084
,10+ years,credit_card,5,16629
,5 years,major_purchase,10,260157
,2 years,debt_consolidation,10,23997
,2 years,debt_consolidation,9,15829
,10+ years,other,7,34205
7,9 years,debt_consolidation,14,239990
33,10+ years,credit_card,11,720011
,2 years,credit_card,5,17641
77,7 years,credit_card,5,
,3 years,debt_consolidation,20,421184
,5 years,debt_consolidation,14,16039
,2 years,debt_consolidation,10,24403
18,< 1 year,debt_consolidation,23,147052
49,8 years,debt_consolidation,13,274076
,10+ years,home_improvement,11,316087
52,2 years,debt_consolidation,6,23893
61,10+ years,debt_consolidation,21,15346
48,2 years,debt_consolidation,12,402724
68,5 years,credit_card,10,27800
,4 years,debt_consolidation,21,
16,1 year,debt_consolidation,13,73607
14,4 years,debt_consolidation,15,29518
22,10+ years,debt_consolidation,7,426883
12,< 1 year,credit_card,8,73236
39,10+ years,other,5,6643
,2 years,moving,15,18815
,4 years,debt_consolidation,8,28729
,10+ years,home_improvement,5,61872
45,3 years,credit_card,22,77856
20,n/a,debt_consolidation,10,151497
9,4 years,house,15,80054
35,< 1 year,debt_consolidation,11,12143
,n/a,home_improvement,11,171283
65,10+ years,house,6,269551
15,< 1 year,credit_card,16,34137
16,3 years,credit_card,5,31388
,9 years,debt_consolidation,5,119776
30,1 year,debt_consolidation,9,282334
,10+ years,credit_card,7,159424
24,3 years,home_improvement,8,135868
,3 years,credit_card,11,2523
46,2 years,debt_consolidation,9,32576
,6 years,debt_consolidation,11,16458
,10+ years,debt_consolidation,13,323899
28,10+ years,debt_consolidation,6,27010
,5 years,debt_consolidation,4,8833
,10+ years,debt_consolidation,12,16178
,10+ years,other,12,32201
,3 years,debt_consolidation,19,109468
5,10+ years,debt_consolidation,9,241210
,8 years,home_improvement,14,230889
,5 years,credit_card,7,5011
67,< 1 year,debt_consolidation,11,31349
34,6 years,debt_consolidation,10,99156
,2 years,credit_card,9,30407
63,10+ years,debt_consolidation,12,50502
57,7 years,credit_card,12,31665
13,3 years,credit_card,7,24375
21,2 years,house,5,16186
25,10+ years,debt_consolidation,9,121646
23,2 years,debt_consolidation,10,50818
24,6 years,debt_consolidation,9,28248
,10+ years,credit_card,17,47892
24,10+ years,debt_consolidation,8,
,4 years,debt_consolidation,9,
,1 year,debt_consolidation,8,39847
80,10+ years,debt_consolidation,13,151402
38,3 years,credit_card,10,9464
50,10+ years,debt_consolidation,6,5208
,10+ years,credit_card,9,291462
,10+ years,credit_card,8,31147
5,10+ years,credit_card,16,186706
58,4 years,debt_consolidation,5,9930
14,10+ years,debt_consolidation,14,6466
,7 years,debt_consolidation,9,212675
12,10+ years,credit_card,19,106054
6,< 1 year,debt_consolidation,7,10017
39,< 1 year,credit_card,7,49033
,7 years,debt_consolidation,12,17665
,10+ years,debt_consolidation,8,213982
36,3 years,credit_card,20,43070
21,5 years,debt_consolidation,7,322046
20,3 years,major_purchase,4,
,8 years,credit_card,11,301255
11,10+ years,debt_consolidation,6,196263
4,10+ years,credit_card,9,101461
31,7 years,debt_consolidation,16,386482
,< 1 year,home_improvement,10,212480
15,10+ years,home_improvement,7,25721
40,2 years,debt_consolidation,5,10672
,1 year,debt_consolidation,12,35323
,4 years,major_purchase,7,
,2 years,debt_consolidation,5,29076
56,9 years,debt_consolidation,10,122634
,10+ years,other,15,
,10+ years,debt_consolidation,13,20400
8,10+ years,debt_consolidation,12,402635
,10+ years,debt_consolidation,15,354423
,3 years,credit_card,8,123621
75,n/a,home_improvement,5,27156
,1 year,debt_consolidation,18,128326
,10+ years,debt_consolidation,7,18508
,10+ years,debt_consolidation,15,314476
,10+ years,debt_consolidation,15,23327
,10+ years,credit_card,15,188061
4,10+ years,debt_consolidation,12,42100
34,< 1 year,moving,5,21935
5,9 years,debt_consolidation,17,328810
,5 years,credit_card,9,
3,10+ years,credit_card,8,231692
18,3 years,debt_consolidation,10,
,5 years,debt_consolidation,12,49995
64,3 years,debt_consolidation,6,9205
,4 years,debt_consolidation,21,310751
,1 year,debt_consolidation,9,224276
,7 years,credit_card,9,144859
,10+ years,credit_card,8,34801
6,5 years,debt_consolidation,11,152231
,3 years,debt_consolidation,7,29639
,5 years,debt_consolidation,9,67527
,10+ years,credit_card,4,109889
,9 years,vacation,10,109492
49,n/a,debt_consolidation,21,369057
,10+ years,credit_card,9,225648
,< 1 year,credit_card,8,62740
48,8 years,debt_consolidation,12,644480
,10+ years,debt_consolidation,8,116578
,5 years,debt_consolidation,9,44716
,10+ years,credit_card,13,93377
72,7 years,small_business,9,14617
,10+ years,debt_consolidation,5,6691
46,10+ years,other,10,27241
,7 years,major_purchase,9,298058
17,10+ years,credit_card,13,294442
,< 1 year,credit_card,4,22798
,2 years,debt_consolidation,7,15354
42,4 years,debt_consolidation,12,55751
,9 years,debt_consolidation,10,260592
14,2 years,debt_consolidation,12,234856
,10+ years,other,6,178549
,10+ years,debt_consolidation,9,56892
61,9 years,debt_consolidation,3,14140
23,2 years,credit_card,16,51599
,< 1 year,debt_consolidation,20,28399
58,1 year,debt_consolidation,5,50945
,4 years,debt_consolidation,8,7831
,3 years,debt_consolidation,10,41310
65,2 years,debt_consolidation,30,105589
20,4 years,debt_consolidation,16,83041
,10+ years,debt_consolidation,7,243542
34,8 years,debt_consolidation,9,254175
16,5 years,home_improvement,20,1075137
45,2 years,debt_consolidation,9,101720
,1 year,debt_consolidation,11,27987
26,10+ years,debt_consolidation,9,85522
,10+ years,credit_card,12,26354
31,2 years,credit_card,8,30059
,4 years,home_improvement,10,17463
82,10+ years,debt_consolidation,11,206118
29,n/a,debt_consolidation,5,233236
52,4 years,debt_consolidation,4,20420
,6 years,debt_consolidation,6,13754
,7 years,debt_consolidation,11,28680
,n/a,credit_card,15,28470
8,10+ years,credit_card,10,25100
49,4 years,debt_consolidation,12,87902
,10+ years,debt_consolidation,15,425564
10,3 years,other,19,9317
,5 years,debt_consolidation,11,19932
,10+ years,other,1,75978
,n/a,debt_consolidation,5,88261
,10+ years,credit_card,17,93665
,8 years,debt_consolidation,18,491385
56,n/a,debt_consolidation,8,515695
,4 years,debt_consolidation,9,176177
,10+ years,debt_consolidation,24,310125
,2 years,credit_card,25,41965
11,10+ years,debt_consolidation,11,27032
51,10+ years,credit_card,7,36059
,10+ years,debt_consolidation,4,6389
,3 years,debt_consolidation,12,37466
,5 years,debt_consolidation,7,24061
,10+ years,debt_consolidation,11,55169
,10+ years,other,7,
,4 years,debt_consolidation,10,133707
,2 years,debt_consolidation,7,30518
6,10+ years,other,6,238166
14,10+ years,credit_card,14,346715
,5 years,home_improvement,10,360294
,7 years,car,10,48709
30,6 years,credit_card,18,28484
5,10+ years,debt_consolidation,7,263846
,10+ years,home_improvement,31,538345
5,8 years,credit_card,16,212067
,8 years,debt_consolidation,14,18841
5,7 years,credit_card,15,213073
37,10+ years,medical,5,7439
,3 years,credit_card,8,309799
,2 years,credit_card,3,5464
,10+ years,credit_card,5,4247
,2 years,credit_card,12,329250
28,9 years,debt_consolidation,9,155659
,7 years,home_improvement,8,
7,2 years,car,12,144839
72,6 years,credit_card,15,139720
81,8 years,credit_card,13,305100
4,10+ years,debt_consolidation,29,236162
43,10+ years,debt_consolidation,12,10631
11,4 years,debt_consolidation,15,918336
3,10+ years,debt_consolidation,11,43048
,2 years,debt_consolidation,9,223506
,5 years,debt_consolidation,8,23486
,10+ years,debt_consolidation,12,15023
,10+ years,credit_card,17,253938
,n/a,debt_consolidation,17,98903
,4 years,debt_consolidation,13,54707
,3 years,debt_consolidation,3,15867
,1 year,credit_card,6,31055
,< 1 year,credit_card,8,477425
,10+ years,debt_consolidation,6,
,2 years,credit_card,7,9790
10,10+ years,debt_consolidation,6,10195
15,5 years,debt_consolidation,9,491590
74,< 1 year,credit_card,9,85564
43,10+ years,debt_consolidation,10,322731
,2 years,debt_consolidation,4,13260
15,6 years,credit_card,14,223575
,8 years,vacation,5,2593
,10+ years,debt_consolidation,8,19363
,10+ years,small_business,5,
,10+ years,credit_card,13,52032
,10+ years,debt_consolidation,9,30970
,10+ years,major_purchase,11,
10,10+ years,debt_consolidation,11,70946
80,10+ years,debt_consolidation,14,16091
,1 year,debt_consolidation,14,71732
,< 1 year,debt_consolidation,14,834126
,1 year,debt_consolidation,16,83008
,1 year,debt_consolidation,21,467055
53,5 years,debt_consolidation,24,355893
8,5 years,debt_consolidation,14,10012
45,10+ years,debt_consolidation,8,210586
38,10+ years,debt_consolidation,5,87854
,10+ years,debt_consolidation,23,98842
12,n/a,debt_consolidation,12,22604
39,10+ years,debt_consolidation,8,31362
70,8 years,debt_consolidation,6,180478
,3 years,credit_card,10,252595
4,10+ years,debt_consolidation,17,212715
28,6 years,credit_card,18,315397
65,5 years,debt_consolidation,8,15411
,1 year,other,19,56923
,10+ years,credit_card,15,257429
,9 years,debt_consolidation,9,73887
40,1 year,credit_card,12,50196
59,3 years,debt_consolidation,13,
19,10+ years,debt_consolidation,10,163762
,n/a,home_improvement,9,
,6 years,debt_consolidation,17,45662
,10+ years,other,10,144035
,1 year,debt_consolidation,8,35219
6,10+ years,debt_consolidation,8,213509
3,10+ years,debt_consolidation,16,516047
25,n/a,credit_card,9,11442
26,1 year,debt_consolidation,11,5205
24,8 years,home_improvement,7,3527
,10+ years,debt_consolidation,13,171637
34,4 years,debt_consolidation,10,26794
34,4 years,debt_consolidation,12,33807
36,3 years,home_improvement,16,204998
27,10+ years,debt_consolidation,7,29475
,5 years,debt_consolidation,15,
37,10+ years,credit_card,6,
16,10+ years,medical,4,157219
,< 1 year,debt_consolidation,17,140974
54,10+ years,debt_consolidation,16,62012
19,5 years,debt_consolidation,13,522794
,10+ years,credit_card,28,396092
45,10+ years,other,11,23744
24,9 years,other,7,65679
78,10+ years,debt_consolidation,15,244107
21,10+ years,debt_consolidation,5,33076
,10+ years,debt_consolidation,9,10471
,5 years,home_improvement,6,85912
,3 years,debt_consolidation,9,
,10+ years,debt_consolidation,8,69001
,10+ years,debt_consolidation,7,301026
,n/a,debt_consolidation,8,31823
10,10+ years,debt_consolidation,20,246764
75,10+ years,credit_card,11,227535
35,10+ years,debt_consolidation,12,249602
6,9 years,credit_card,12,25585
,10+ years,debt_consolidation,15,195346
52,10+ years,debt_consolidation,11,34766
33,2 years,credit_card,18,24532
,4 years,debt_consolidation,36,307285
14,10+ years,debt_consolidation,19,
,6 years,debt_consolidation,9,40073
,2 years,debt_consolidation,20,18969
,< 1 year,debt_consolidation,23,75952
,4 years,debt_consolidation,12,234994
,2 years,credit_card,11,260787
,6 years,credit_card,5,
,10+ years,car,7,309402
15,1 year,debt_consolidation,9,84658
,< 1 year,debt_consolidation,19,395736
23,4 years,debt_consolidation,11,104783
7,2 years,debt_consolidation,9,360946
,3 years,debt_consolidation,10,48154
,n/a,other,22,
60,2 years,debt_consolidation,13,15698
26,8 years,debt_consolidation,14,25105
,n/a,debt_consolidation,15,3971
40,4 years,debt_consolidation,9,
12,3 years,debt_consolidation,41,165331
,2 years,debt_consolidation,11,
16,10+ years,debt_consolidation,11,556142
,< 1 year,debt_consolidation,8,
,10+ years,debt_consolidation,5,7239
49,7 years,home_improvement,7,69995
,5 years,debt_consolidation,14,37952
12,10+ years,debt_consolidation,7,27768
3,< 1 year,credit_card,22,378303
58,10+ years,debt_consolidation,5,15942
,7 years,debt_consolidation,5,112580
,10+ years,other,15,329856
52,6 years,credit_card,16,24386
77,1 year,debt_consolidation,22,56381
,10+ years,vacation,5,218084
,10+ years,credit_card,27,231004
30,10+ years,credit_card,13,323047
,3 years,debt_consolidation,7,195240
,10+ years,debt_consolidation,11,189864
25,9 years,debt_consolidation,7,154869
57,< 1 year,debt_consolidation,22,243567
,10+ years,debt_consolidation,26,427039
,6 years,debt_consolidation,8,26359
27,4 years,credit_card,11,123256
30,4 years,debt_consolidation,8,42988
,n/a,debt_consolidation,12,15999
,6 years,credit_card,12,94628
33,4 years,debt_consolidation,14,253216
,2 years,debt_consolidation,11,167600
59,< 1 year,debt_consolidation,8,19940
43,10+ years,debt_consolidation,11,134781
,3 years,debt_consolidation,19,79807
,2 years,debt_consolidation,17,
29,4 years,debt_consolidation,9,100498
59,5 years,debt_consolidation,9,47877
33,3 years,debt_consolidation,6,35168
,2 years,credit_card,8,19756
5,10+ years,other,10,355697
16,3 years,debt_consolidation,17,151109
55,10+ years,debt_consolidation,8,118222
,4 years,vacation,15,167977
,4 years,debt_consolidation,7,3526
12,8 years,debt_consolidation,11,169635
,2 years,home_improvement,16,75012
,5 years,debt_consolidation,6,
11,2 years,debt_consolidation,19,38483
,< 1 year,debt_consolidation,16,285923
,5 years,debt_consolidation,12,486573
10,< 1 year,debt_consolidation,12,189154
,n/a,credit_card,8,10622
60,< 1 year,debt_consolidation,10,30153
,5 years,debt_consolidation,8,31262
4,10+ years,debt_consolidation,13,205837
,10+ years,credit_card,9,137665
,10+ years,debt_consolidation,8,137204
41,1 year,debt_consolidation,10,16941
25,10+ years,debt_consolidation,11,98954
40,10+ years,debt_consolidation,12,4945
,10+ years,debt_consolidation,12,174796
,10+ years,car,8,13634
14,n/a,debt_consolidation,22,48570
,8 years,debt_consolidation,9,19095
,< 1 year,debt_consolidation,8,18171
11,10+ years,home_improvement,14,44456
,2 years,home_improvement,6,286360
7,1 year,debt_consolidation,13,281647
57,2 years,debt_consolidation,3,183
57,7 years,debt_consolidation,11,315643
48,< 1 year,credit_card,9,115764
,10+ years,credit_card,12,303465
23,< 1 year,home_improvement,10,68002
55,10+ years,debt_consolidation,6,161773
,2 years,credit_card,17,85537
,4 years,home_improvement,11,219903
29,2 years,debt_consolidation,22,
10,9 years,home_improvement,11,6783
,5 years,debt_consolidation,26,315110
80,2 years,home_improvement,7,48225
9,< 1 year,credit_card,8,19102
8,2 years,credit_card,13,211505
,n/a,debt_consolidation,9,154402
,1 year,debt_consolidation,15,379386
,4 years,debt_consolidation,11,
,10+ years,credit_card,8,
39,8 years,debt_consolidation,14,30869
56,6 years,home_improvement,8,24793
3,4 years,credit_card,14,37696
,1 year,credit_card,14,110210
,10+ years,car,8,
,< 1 year,debt_consolidation,8,54970
52,9 years,home_improvement,13,276305
52,9 years,debt_consolidation,12,31099
,8 years,major_purchase,10,268241
,6 years,debt_consolidation,5,16039
30,10+ years,debt_consolidation,12,182069
,2 years,debt_consolidation,10,9133
22,2 years,debt_consolidation,17,276262
50,5 years,home_improvement,13,
20,3 years,credit_card,10,156262
,1 year,debt_consolidation,6,3665
,< 1 year,credit_card,18,421293
,10+ years,other,10,567666
28,9 years,major_purchase,14,
76,10+ years,debt_consolidation,9,104596
,< 1 year,credit_card,5,10874
,1 year,debt_consolidation,12,39197
,10+ years,debt_consolidation,9,93321
35,10+ years,debt_consolidation,15,263782
,4 years,debt_consolidation,19,194475
,10+ years,credit_card,14,153476
,9 years,credit_card,14,104911
64,10+ years,debt_consolidation,8,14988
34,7 years,debt_consolidation,5,66137
2,4 years,car,14,73643
,n/a,debt_consolidation,3,30895
,2 years,debt_consolidation,14,17952
,1 year,debt_consolidation,11,29322
21,n/a,debt_consolidation,12,22844
,10+ years,debt_consolidation,9,282017
31,10+ years,credit_card,17,280263
,< 1 year,credit_card,15,94983
50,10+ years,debt_consolidation,17,
75,2 years,debt_consolidation,15,28164
,10+ years,other,10,12539
46,9 years,other,4,20415
10,10+ years,debt_consolidation,5,16990
25,10+ years,debt_consolidation,15,365144
,10+ years,credit_card,12,58600
,10+ years,debt_consolidation,17,138534
,2 years,credit_card,19,34542
57,3 years,debt_consolidation,7,101128
7,8 years,debt_consolidation,14,205413
,10+ years,debt_consolidation,5,98983
,4 years,other,12,48899
,4 years,debt_consolidation,12,109807
,10+ years,other,4,4421
,n/a,other,14,39631
,3 years,debt_consolidation,9,239466
72,2 years,debt_consolidation,15,156911
,6 years,debt_consolidation,11,
,3 years,debt_consolidation,15,32093
,n/a,debt_consolidation,14,31687
54,n/a,major_purchase,4,
,4 years,credit_card,2,11115
,2 years,credit_card,11,28909
,10+ years,credit_card,4,6945
35,8 years,debt_consolidation,11,15500
,4 years,credit_card,11,53777
,10+ years,debt_consolidation,25,49199
45,10+ years,debt_consolidation,16,145031
,5 years,debt_consolidation,19,37388
21,5 years,debt_consolidation,13,180422
42,< 1 year,home_improvement,4,23485
18,10+ years,debt_consolidation,8,37190
